ID;Наименование;Ссылка на товар;Регулярная цена;Бренд
296924;aro Ручки гелевые 24 цвета;https://online.metro-cc.ru/products/nabor-gelevyh-ruchek-aro-24-cv;469;ARO
107022;Ручка шариковая Penac Soft Glider;https://online.metro-cc.ru/products/sharikovaya-penac-soft-glider;499;PENAC
332493;Маркеры-текстовыделители Erich Krause V-20;https://online.metro-cc.ru/products/nabor-erich-krause-v-20-4-sht;449;ERICH KRAUSE
232610;Ручки гелевые Bruno Visconti Uniwrite Neon 8 цветов;https://online.metro-cc.ru/products/ruchki-gelevye-uniwrite-neon-08-mm-8tsv-bv;449;BRUNO VISCONTI
596227;Ручка гелевая Erich Krause G-Soft черная;https://online.metro-cc.ru/products/gelevaya-g-soft-erich-krause-chernaya;149;ERICH KRAUSE
501247;Ручки шариковые BIC Orange Fine синие;https://online.metro-cc.ru/products/sharikovaya-bic-orange-fine-up-20-sht;659;BIC
221672;Ручки Berlingo Rapido капиллярные;https://online.metro-cc.ru/products/kapillyarnye-ruchki-rapido-6sht-berlingo;229;BERLINGO
43643;Ручки шариковые Berlingo xFine синие;https://online.metro-cc.ru/products/art_43643;169;BERLINGO
131274;Ручки шариковые Erich Krause U-108 Orange Stick 1мм;https://online.metro-cc.ru/products/shar-erichkrause-reg-u-108-orange-stick-1-3-sht;129;ERICH KRAUSE
433426;Маркеры для досок Kores 3мм 4 цвета;https://online.metro-cc.ru/products/dlya-dosok-kores-3mm-4cv-4sht;399;KORES
338801;Карандаш корректирующий Erich Krause 10мл;https://online.metro-cc.ru/products/karandash-korrektiruyuschij-erich-krause-10-ml;179;ERICH KRAUSE
659053;SIGMA Текстовыделители 6 цветов;https://online.metro-cc.ru/products/art_659053;199;SIGMA
637789;Ручки шариковые Schneider Tops 505 F синие;https://online.metro-cc.ru/products/sharikovaya-schneider-tops-505-f-sinyaya-10-sht;399;SCHNEIDER
115581;Ручки шариковые Berlingo Radiance синие 0.7мм;https://online.metro-cc.ru/products/ruchka-sharik-radiance-sin-07mm-3sht-berlingo;199;BERLINGO
596222;Ручки гелевые Erich Krause R-301 синие;https://online.metro-cc.ru/products/gelevaya-erich-krause-r-301-sinyaya-12sht;449;ERICH KRAUSE
131701;Ручки шариковые BIC Round Stic Classic синие;https://online.metro-cc.ru/products/sharikovaya-bic-round-stic-classic-4-sht;89;BIC
596220;Ручки гелевые Erich Krause R-301 черные;https://online.metro-cc.ru/products/gelevaya-r-301-erich-krause-chernaya-12-sht;399;ERICH KRAUSE
